Year,Population,People_over_25_with_No_Schooling,High_School_Diploma,GED,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctoral_Degree,Name,state,No_Schooling_Rate,High_School_Education_Rate,GED_Rate,Associates_Degree_Rate,Bachelors_Degree_Rate,Masters_Degree_Rate,Professional_Degree_Rate,Doctoral_Degree Rate
2016,6589578.0,39122.0,1261742.0,224309.0,364277.0,681986.0,283692.0,59629.0,42755.0,Indiana,18,0.5936950742520993,19.147538734650382,3.4039964319414686,5.528077822282398,10.349463956568995,4.3051618783479,0.9048986141449422,0.6488275880488856
2017,6614418.0,39437.0,1248705.0,226167.0,372514.0,704841.0,295381.0,61395.0,44691.0,Indiana,18,0.596227816264409,18.878531716622685,3.419303104218693,5.631848486140428,10.6561302899212,4.4657141414407135,0.928199578557025,0.6756603528836551
2012,4340167.0,31623.0,785247.0,202761.0,199940.0,361888.0,175964.0,46933.0,24142.0,Kentucky,21,0.7286125165229818,18.09255265984005,4.671732677567476,4.606735178623311,8.338112335308757,4.054314039068082,1.0813639198675995,0.5562458771747723
2013,4361333.0,32009.0,786950.0,202117.0,206790.0,372738.0,183161.0,47346.0,25428.0,Kentucky,21,0.7339269897529035,18.04379532587858,4.634294148142322,4.741440289012557,8.546423765394662,4.199656389457076,1.08558553084573,0.5830327562697001
2014,4383272.0,32662.0,788478.0,203042.0,214363.0,377949.0,188011.0,47619.0,26453.0,Kentucky,21,0.74515111085965,17.988342954760736,4.632201697727178,4.89047907590494,8.6225312962554,4.289284351963556,1.0863802200730412,0.6034989386923741
2015,4397353.0,32837.0,788112.0,205741.0,221409.0,386554.0,196117.0,48471.0,27802.0,Kentucky,21,0.7467446893619867,17.922418327571155,4.678746509547903,5.035051768643545,8.790606530792502,4.4598875732741945,1.1022767560393718,0.6322439885995053
2016,4411989.0,32514.0,786862.0,203460.0,231405.0,397154.0,199251.0,49576.0,28184.0,Kentucky,21,0.7369465336382298,17.834631953978125,4.611525550041036,5.2449133486053565,9.00169968692125,4.5161264001338175,1.1236655395106379,0.6388048564944292
2017,4424376.0,32245.0,784789.0,203732.0,238060.0,406916.0,205326.0,51749.0,28577.0,Kentucky,21,0.7288033385950923,17.737845969691545,4.60476234388759,5.380645767900377,9.197138760358524,4.640790023271078,1.1696338647529052,0.645898992309876
2012,9897264.0,67506.0,1760439.0,260871.0,551652.0,1033830.0,473285.0,108256.0,63809.0,Michigan,26,0.6820672864743226,17.787127836541494,2.6357890423050248,5.573782815129515,10.445614060613115,4.781978130521728,1.093797235276335,0.6447135289106161
2013,9886095.0,69695.0,1745288.0,260945.0,564950.0,1049930.0,486283.0,106937.0,67068.0,Michigan,26,0.7049800755505586,17.653967517002418,2.6395154001655863,5.714592060869332,10.620270187571533,4.918858254953043,1.0816910013508874,0.6784073994838205
2014,9889024.0,71758.0,1734029.0,263590.0,580404.0,1068984.0,499269.0,109396.0,71017.0,Michigan,26,0.7256327823655803,17.534885141344585,2.665480435683036,5.869173742525046,10.809802868311372,5.048718660203474,1.1062365709699966,0.7181396263170157
2015,9900571.0,72158.0,1722171.0,266211.0,595198.0,1094936.0,512955.0,110322.0,73679.0,Michigan,26,0.7288266505032892,17.394663398707003,2.6888449161164543,6.01175427154656,11.059321730029511,5.181064809292312,1.1142993671779133,0.7441894007931462
2016,9909600.0,72694.0,1710082.0,268580.0,608429.0,1117697.0,526378.0,111392.0,76331.0,Michigan,26,0.7335714862355696,17.256821667877613,2.7103011221441835,6.139793735367724,11.278931541131831,5.311798659885364,1.1240816985549367,0.7702732703640914
2017,9925568.0,72640.0,1697454.0,268656.0,622070.0,1147842.0,545875.0,114622.0,78702.0,Michigan,26,0.7318472857170492,17.101832358611617,2.706706558254399,6.267349133067246,11.564496863051062,5.499685257307189,1.1548155229000496,0.7929218761082489
