,State,Offense_Year,Offense_Type,Offense_Count
693,PA,2016,drug_abuse_gt,57538
694,PA,2016,drug_poss_m,20192
695,PA,2016,drug_poss_opium,11803
696,PA,2016,drug_poss_other,6740
697,PA,2016,drug_poss_subtotal,40966
698,PA,2016,drug_poss_synthetic,2231
699,PA,2016,drug_sales_m,4107
700,PA,2016,drug_sales_opium,9574
701,PA,2016,drug_sales_other,1617
702,PA,2016,drug_sales_subtotal,16572
703,PA,2016,drug_sales_synthetic,1271
704,PA,2016,drunkness,21474
705,PA,2016,embezzlement,497
706,PA,2016,forgery,2428
707,PA,2016,fraud,8404
708,PA,2016,g_all,90
709,PA,2016,g_b,7
710,PA,2016,g_n,9
711,PA,2016,g_t,106
712,PA,2016,ht_c_s_a,0
713,PA,2016,ht_i_s,0
714,PA,2016,larceny,44589
715,PA,2016,liquor,9789
716,PA,2016,manslaughter,57
717,PA,2016,mvt,2456
718,PA,2016,murder,416
719,PA,2016,offense_family,1877
720,PA,2016,prostitution,1909
721,PA,2016,prostitution_a_p_p,0
722,PA,2016,prostitution_p,0
723,PA,2016,prostitution_p_p,0
724,PA,2016,rape,1050
725,PA,2016,robbery,5028
726,PA,2016,sex_offense,2279
727,PA,2016,simple_assault,41687
728,PA,2016,stolen_property,2506
729,PA,2016,suspicion,0
730,PA,2016,vagrancy,274
731,PA,2016,vandalism,7358
732,PA,2016,weapons,4969
734,PA,2016,data_year,2016
735,PA,2017,aggravated_assault,13911
736,PA,2017,all_other_offenses,47217
737,PA,2017,arson,362
738,PA,2017,burglary,6167
739,PA,2017,curfew,6738
740,PA,2017,disorderly,35939
741,PA,2017,driving,45496
742,PA,2017,drug_abuse_gt,63841
743,PA,2017,drug_poss_m,23127
744,PA,2017,drug_poss_opium,13076
745,PA,2017,drug_poss_other,7221
746,PA,2017,drug_poss_subtotal,46082
747,PA,2017,drug_poss_synthetic,2658
748,PA,2017,drug_sales_m,4666
749,PA,2017,drug_sales_opium,9960
750,PA,2017,drug_sales_other,1682
751,PA,2017,drug_sales_subtotal,17741
752,PA,2017,drug_sales_synthetic,1433
753,PA,2017,drunkness,21251
754,PA,2017,embezzlement,479
755,PA,2017,forgery,2428
756,PA,2017,fraud,7801
757,PA,2017,g_all,29
758,PA,2017,g_b,9
759,PA,2017,g_n,15
760,PA,2017,g_t,53
761,PA,2017,ht_c_s_a,0
762,PA,2017,ht_i_s,0
763,PA,2017,larceny,41899
764,PA,2017,liquor,9479
765,PA,2017,manslaughter,73
766,PA,2017,mvt,2434
767,PA,2017,murder,461
768,PA,2017,offense_family,2046
769,PA,2017,prostitution,1771
770,PA,2017,prostitution_a_p_p,0
771,PA,2017,prostitution_p,1
772,PA,2017,prostitution_p_p,0
773,PA,2017,rape,1176
774,PA,2017,robbery,4917
775,PA,2017,sex_offense,2223
776,PA,2017,simple_assault,42689
777,PA,2017,stolen_property,2422
778,PA,2017,suspicion,0
779,PA,2017,vagrancy,309
780,PA,2017,vandalism,7261
781,PA,2017,weapons,5088
783,PA,2017,data_year,2017
784,WV,2010,aggravated_assault,1624
785,WV,2010,all_other_offenses,11767
786,WV,2010,arson,59
787,WV,2010,burglary,933
788,WV,2010,curfew,67
789,WV,2010,disorderly,1137
790,WV,2010,driving,5032
791,WV,2010,drug_abuse_gt,6628
792,WV,2010,drug_poss_m,2938
793,WV,2010,drug_poss_opium,496
794,WV,2010,drug_poss_other,842
795,WV,2010,drug_poss_subtotal,5224
796,WV,2010,drug_poss_synthetic,948
797,WV,2010,drug_sales_m,478
798,WV,2010,drug_sales_opium,367
799,WV,2010,drug_sales_other,227
800,WV,2010,drug_sales_subtotal,1298
801,WV,2010,drug_sales_synthetic,226
802,WV,2010,drunkness,3520
803,WV,2010,embezzlement,145
804,WV,2010,forgery,467
805,WV,2010,fraud,827
806,WV,2010,g_all,0
807,WV,2010,g_b,0
808,WV,2010,g_n,0
809,WV,2010,g_t,10
810,WV,2010,ht_c_s_a,0
811,WV,2010,ht_i_s,0
812,WV,2010,larceny,5004
813,WV,2010,liquor,1771
814,WV,2010,manslaughter,2
815,WV,2010,mvt,203
816,WV,2010,murder,28
817,WV,2010,offense_family,89
818,WV,2010,prostitution,117
819,WV,2010,prostitution_a_p_p,0
820,WV,2010,prostitution_p,0
821,WV,2010,prostitution_p_p,0
822,WV,2010,rape,66
823,WV,2010,robbery,176
824,WV,2010,sex_offense,139
825,WV,2010,simple_assault,6578
826,WV,2010,stolen_property,352
827,WV,2010,suspicion,0
828,WV,2010,vagrancy,7
829,WV,2010,vandalism,856
830,WV,2010,weapons,327
832,WV,2010,data_year,2010
833,WV,2011,aggravated_assault,1636
834,WV,2011,all_other_offenses,14209
835,WV,2011,arson,41
836,WV,2011,burglary,1026
837,WV,2011,curfew,70
838,WV,2011,disorderly,1040
839,WV,2011,driving,5419
840,WV,2011,drug_abuse_gt,6875
841,WV,2011,drug_poss_m,3116
842,WV,2011,drug_poss_opium,528
843,WV,2011,drug_poss_other,927
844,WV,2011,drug_poss_subtotal,5479
